#
# Class "hotel_db#manager_client"
#
@w4hotelClientNumber|w4hotelManagerId
1000|adm
1001|adm
1002|adm
1003|adm
1004|adm
1005|adm
1006|adm
1007|adm
1008|adm
1009|adm
1010|adm
1011|adm
1012|adm
1013|adm
1014|adm
1015|adm
1016|adm
1017|adm
1018|adm
1019|adm
1020|sha
1021|sha
1022|sha
1023|sha
1024|sha
1025|sha
1026|sha
1027|sha
1028|sha
1029|sha
1030|sha
1031|sha
1032|sha
1033|sha
1034|sha
1035|sha
1036|sha
1037|sha
1038|sha
1039|sha
1040|ich
1041|ich
1042|ich
1043|ich
1044|ich
1045|ich
1046|ich
1047|ich
1048|ich
1049|ich
1050|ich
1051|ich
1052|ich
1053|ich
1054|ich
1055|ich
1056|ich
1057|ich
1058|ich
1059|ich
1060|lbo
1061|lbo
1062|lbo
1063|lbo
1064|lbo
1065|lbo
1066|lbo
1067|lbo
1068|lbo
1069|lbo
1070|lbo
1071|lbo
1072|lbo
1073|lbo
1074|lbo
1075|lbo
1076|lbo
1077|lbo
1078|lbo
1079|lbo
1080|mdu
1081|mdu
1082|mdu
1083|mdu
1084|mdu
1085|mdu
1086|mdu
1087|mdu
1088|mdu
1089|mdu
1090|mdu
1091|mdu
1092|mdu
1093|mdu
1094|mdu
1095|mdu
1096|mdu
1097|mdu
1098|mdu
1099|mdu
# 	--------- END OF FILE -----------   #
