#
# Class "hotel_db#room"
#
@w4hotelRoomId|w4hotelRoomNumber|w4hotelRoomType|w4hotelRoomRate|w4hotelRoomSmoking|w4hotelRoomBath|w4hotelRoomEquipments|w4hotelRoomPicture
1000|10|2|73.0|1|0|~0~|\room4.jpg
1001|1|0|96.0|0|0|~1~|\room9.jpg
1002|2|2|30.0|0|0|~2~|\room9.jpg
1003|3|1|47.0|0|0|~3~|\room1.jpg
1004|4|1|81.0|0|0|~0~|\room7.jpg
1005|5|0|120.0|0|0|~1~|\room8.jpg
1006|6|2|84.0|0|0|~2~|\room3.jpg
1007|7|2|49.0|1|1|~3~|\room7.jpg
1008|8|2|66.0|0|0|~3~|\room1.jpg
1009|9|0|31.0|0|1|~2~|\room5.jpg
1010|10|2|73.0|1|0|~1~|\room4.jpg
1011|1|0|96.0|0|0|~0~|\room9.jpg
1012|2|2|30.0|0|0|~3~|\room9.jpg
1013|3|1|47.0|0|0|~2~|\room1.jpg
1014|4|1|81.0|0|0|~1~|\room7.jpg
1015|5|0|120.0|0|0|~0~|\room8.jpg
1016|6|2|84.0|0|0|~1~|\room3.jpg
1017|7|2|49.0|1|1|~0~|\room7.jpg
1018|8|2|66.0|0|0|~3~|\room1.jpg
1019|9|0|31.0|0|1|~2~|\room5.jpg
1020|10|2|73.0|1|0|~0~|\room4.jpg
1021|1|0|96.0|0|0|~3~|\room9.jpg
1022|2|2|30.0|0|0|~1~|\room9.jpg
1023|3|1|47.0|0|0|~2~|\room1.jpg
1024|4|1|81.0|0|0|~3~|\room7.jpg
1025|5|0|120.0|0|0|~0~|\room8.jpg
1026|6|2|84.0|0|0|~2~|\room3.jpg
1027|7|2|49.0|1|1|~3~|\room7.jpg
1028|8|2|66.0|0|0|~1~|\room1.jpg
1029|9|0|31.0|0|1|~1~|\room5.jpg
1030|10|2|73.0|1|0|~2~|\room4.jpg
1031|1|0|96.0|0|0|~3~|\room9.jpg
1032|2|2|30.0|0|0|~2~|\room9.jpg
1033|3|1|47.0|0|0|~1~|\room1.jpg
1034|4|1|81.0|0|0|~0~|\room7.jpg
1035|5|0|120.0|0|0|~2~|\room8.jpg
1036|6|2|84.0|0|0|~3~|\room3.jpg
1037|7|2|49.0|1|1|~0~|\room7.jpg
1038|8|2|66.0|0|0|~1~|\room1.jpg
1039|9|0|31.0|0|1|~2~|\room5.jpg
1040|10|2|73.0|1|0|~3~|\room4.jpg
1041|1|0|96.0|0|0|~2~|\room9.jpg
1042|2|2|30.0|0|0|~1~|\room9.jpg
1043|3|1|47.0|0|0|~1~|\room1.jpg
1044|4|1|81.0|0|0|~2~|\room7.jpg
1045|5|0|120.0|0|0|~3~|\room8.jpg
1046|6|2|84.0|0|0|~2~|\room3.jpg
1047|7|2|49.0|1|1|~3~|\room7.jpg
1048|8|2|66.0|0|0|~2~|\room1.jpg
1049|9|0|31.0|0|1|~1~|\room5.jpg
1050|10|2|73.0|1|0|~3~|\room4.jpg
1051|1|0|96.0|0|0|~2~|\room9.jpg
1052|2|2|30.0|0|0|~3~|\room9.jpg
1053|3|1|47.0|0|0|~2~|\room1.jpg
1054|4|1|81.0|0|0|~0~|\room7.jpg
1055|5|0|120.0|0|0|~1~|\room8.jpg
1056|6|2|84.0|0|0|~2~|\room3.jpg
1057|7|2|49.0|1|1|~3~|\room7.jpg
1058|8|2|66.0|0|0|~1~|\room1.jpg
1059|9|0|31.0|0|1|~2~|\room5.jpg
1060|10|2|73.0|1|0|~3~|\room4.jpg
1061|1|0|96.0|0|0|~0~|\room9.jpg
1062|2|2|30.0|0|0|~2~|\room9.jpg
1063|3|1|47.0|0|0|~2~|\room1.jpg
1064|4|1|81.0|0|0|~3~|\room7.jpg
1065|5|0|120.0|0|0|~2~|\room8.jpg
1066|6|2|84.0|0|0|~1~|\room3.jpg
1067|7|2|49.0|1|1|~3~|\room7.jpg
1068|8|2|66.0|0|0|~0~|\room1.jpg
1069|9|0|31.0|0|1|~3~|\room5.jpg
1070|10|2|101.0|1|1|~1~|\room7.jpg
1071|1|0|43.0|0|0|~2~|\room9.jpg
1072|2|1|35.0|0|0|~0~|\room10.jpg
1073|3|0|121.0|1|1|~3~|\room4.jpg
1074|4|1|129.0|1|1|~1~|\room8.jpg
1075|5|2|132.0|1|1|~2~|\room7.jpg
1076|6|1|81.0|1|1|~2~|\room6.jpg
1077|7|2|129.0|0|1|~0~|\room5.jpg
1078|8|0|137.0|0|1|~3~|\room10.jpg
1079|9|2|133.0|1|0|~2~|\room1.jpg
1080|10|2|101.0|1|1|~1~|\room7.jpg
1081|1|0|43.0|0|0|~2~|\room9.jpg
1082|2|1|35.0|0|0|~1~|\room10.jpg
1083|3|0|121.0|1|1|~3~|\room4.jpg
1084|4|1|129.0|1|1|~0~|\room8.jpg
1085|5|2|132.0|1|1|~2~|\room7.jpg
1086|6|1|81.0|1|1|~3~|\room6.jpg
1087|7|2|129.0|0|1|~0~|\room5.jpg
1088|8|0|137.0|0|1|~1~|\room10.jpg
1089|9|2|133.0|1|0|~2~|\room1.jpg
1090|10|2|101.0|1|1|~3~|\room7.jpg
1091|1|0|43.0|0|0|~2~|\room9.jpg
1092|2|1|35.0|0|0|~1~|\room10.jpg
1093|3|0|121.0|1|1|~0~|\room4.jpg
1094|4|1|129.0|1|1|~2~|\room8.jpg
1095|5|2|132.0|1|1|~1~|\room7.jpg
1096|6|1|81.0|1|1|~0~|\room6.jpg
1097|7|2|129.0|0|1|~3~|\room5.jpg
1098|8|0|137.0|0|1|~2~|\room10.jpg
1099|9|2|133.0|1|0|~1~|\room1.jpg
1100|10|2|101.0|1|1|~0~|\room7.jpg
1101|1|0|43.0|0|0|~3~|\room9.jpg
1102|2|1|35.0|0|0|~2~|\room10.jpg
1103|3|0|121.0|1|1|~1~|\room4.jpg
1104|4|1|129.0|1|1|~0~|\room8.jpg
1105|5|2|132.0|1|1|~2~|\room7.jpg
1106|6|1|81.0|1|1|~3~|\room6.jpg
1107|7|2|129.0|0|1|~1~|\room5.jpg
1108|8|0|137.0|0|1|~2~|\room10.jpg
1109|9|2|133.0|1|0|~0~|\room1.jpg
# 	--------- END OF FILE -----------   #
