#
# Class "hotel_db#establishment"
#
@w4hotelEstablishmentId|w4hotelEstablishmentName|w4hotelEstablishmentCategory|w4hotelEstablishmentManager|w4hotelEstablishmentAddress|w4hotelEstablishmentTel|w4hotelEstablishmentDescription|w4hotelEstablishmentPicture|w4hotelEstablishmentRooms
1000|Le Beaurepaire|1|adm|1000|03 73 26 37 48|~Hôtel de caractère de 10 chambres, situé dans une jolie ville très touristique, avec un restaurant Licence III.~|\hotel1.jpg|~1000~1001~1002~1003~1004~1005~1006~1007~1008~1009~
1001|Hôtel Michelet|2|lbo|1001|04 43 54 65 76|~Hôtel moderne, situé dans la vieille ville, tout près du quartier financier.~|\hotel2.jpg|~1010~1011~1012~1013~1014~1015~1016~1017~1018~1019~
1002|Le Saint-Lazare|3|ich|1002|01 42 27 26 18|~A quelques pas de l'Etoile et des Champs-Elysées, à 10 minutes du Palais des Congrès, cet hôtel entièrement rénové, de part sa situation géographique, sera pour vous la garantie d'un séjour agréable et réussi.~|\hotel3.jpg|~1020~1021~1022~1023~1024~1025~1026~1027~1028~1029~
1003|Hôtel Abrial|1|ich|1003|01 64 54 65 76|~Situé au coeur du centre ville, à quelques pas du quartier culturel, commercial et financier.~|\hotel4.jpg|~1030~1031~1032~1033~1034~1035~1036~1037~1038~1039~
1004|Hôtel de l'arrivée|2|mdu|1004|03 43 54 65 76|~Situé dans le coeur du centre ville, à quelques pas de l'Opera, un des lieux touristiques de la ville.~|\hotel5.jpg|~1040~1041~1042~1043~1044~1045~1046~1047~1048~1049~
1005|Hôtel du centre|1|mdu|1005|02 23 54 65 76|~L'hôtel est un charmant établissement entièrement rénové. Dès que l'on passe l'ancienne lourde porte, une agréable atmosphère vous change de l'agitation de la rue. Le personnel est aux petits soins, les chambres très agréables.~|\hotel6.jpg|~1050~1051~1052~1053~1054~1055~1056~1057~1058~1059~
1006|Hôtel des Victoires|3|sha|1006|05 76 54 65 76|~Construit selon les normes les plus modernes d'insonorisation et de confort résidentiel, l'hôtel des Victoires vous offre tranquillité et distinction en plein centre ville.~|\hotel7.jpg|~1060~1061~1062~1063~1064~1065~1066~1067~1068~1069~
1007|Holiday Inn|1|lbo|1007|04 22 54 66 76|~Situé à quelques mètres du centre ville, à proximité de jardins fleuris et verdoyants, et à 20 mètres du tennis club (huit courts en terre batue), l'hôtel bénéficie d'une situation privilégiée. A deux pas du palais des congrès, du casino et des plages.~|\hotel8.jpg|~1070~1071~1072~1073~1074~1075~1076~1077~1078~1079~
1008|Hôtel Argus|3|lbo|1008|04 43 54 49 76|~Bienvenue dans notre établissement à l'accueil exceptionnel où règnent calme, confort et convivialité. Cet ancien hôtel particulier est idéalement situé au coeur du quartier des affaires.~|\hotel9.jpg|~1080~1081~1082~1083~1084~1085~1086~1087~1088~1089~
1009|Hôtel Boileau|2|adm|1009|04 64 36 47 48|~Admirablement situé au coeur de Lyon, il allie élégance, charme et tradition. Sur les bords du Rhône, il intègre le patrimoine historique, artistique et culturel de la ville.~|\hotel10.jpg|~1090~1091~1092~1093~1094~1095~1096~1097~1098~1099~
1010|Le Victor Hugo|1|sha|1010|05 55 73 83 21|~Venez découvrir la capitale de la porcelaine dans notre hotel. Notre personnel vous réserve un accueil chaleureux et convivial.~|\hotel11.jpg|~1100~1101~1102~1103~1104~1105~1106~1107~1108~1109~
# 	--------- END OF FILE -----------   #
