#
# Class "hotel_db#reservation"
#
@w4hotelReservationNumber|w4hotelReservationState|w4hotelReservationDate|w4hotelReservationClient|w4hotelReservationCheckIn|w4hotelReservationCheckOut|w4hotelReservationNights|w4hotelReservationEstablishment|w4hotelCurrentReservationRooms|w4hotelReservationAdults|w4hotelReservationChildren|w4hotelReservationRooms
1000|1|01/03/2012 00:00:00|1017|02/03/2012 00:00:00|06/03/2012 00:00:00|4|1000|~1007~|1|0|~1007~
1001|2|24/09/2011 00:00:00|1021|02/10/2011 00:00:00|04/10/2011 00:00:00|2|1007|~1078~|1|0|~1078~
1002|2|17/01/2012 00:00:00|1072|20/01/2012 00:00:00|27/01/2012 00:00:00|7|1001|~1015~1012~|2|1|~1015~1012~
1003|2|10/08/2011 00:00:00|1010|18/08/2011 00:00:00|19/08/2011 00:00:00|1|1005|~1051~|2|0|~1051~
1004|2|18/10/2011 00:00:00|1075|27/10/2011 00:00:00|28/10/2011 00:00:00|1|1007|~1073~|2|0|~1073~
1005|2|05/12/2011 00:00:00|1036|08/12/2011 00:00:00|14/12/2011 00:00:00|6|1004|~1049~|2|0|~1049~
1006|2|26/12/2011 00:00:00|1099|31/12/2011 00:00:00|03/01/2012 00:00:00|3|1001|~1015~1016~|2|1|~1015~1016~
1007|2|21/11/2011 00:00:00|1075|28/11/2011 00:00:00|01/12/2011 00:00:00|3|1006|~1068~|1|0|~1068~
1008|2|11/11/2011 00:00:00|1042|12/11/2011 00:00:00|14/11/2011 00:00:00|2|1003|~1037~|2|0|~1037~
1009|0|08/03/2012 00:00:00|1024|09/03/2012 00:00:00|11/03/2012 00:00:00|2|1008|~1088~1085~|2|2|~1088~1085~
1010|1|24/02/2012 00:00:00|1029|28/02/2012 00:00:00|01/03/2012 00:00:00|1|1006|~1062~|2|0|~1062~
1011|2|15/09/2011 00:00:00|1084|18/09/2011 00:00:00|24/09/2011 00:00:00|6|1009|~1094~|1|0|~1094~
1012|2|28/12/2011 00:00:00|1022|30/12/2011 00:00:00|03/01/2012 00:00:00|4|1002|~1028~1021~|2|1|~1028~1021~
1013|0|19/03/2012 00:00:00|1007|20/03/2012 00:00:00|27/03/2012 00:00:00|7|1006|~1061~1064~|1|1|~1061~1064~
1014|0|06/02/2012 00:00:00|1042|12/02/2012 00:00:00|18/02/2012 00:00:00|6|1006|~1060~1068~|1|2|~1060~1068~
1015|2|11/11/2011 00:00:00|1090|20/11/2011 00:00:00|27/11/2011 00:00:00|7|1002|~1029~|1|0|~1029~
1016|2|27/09/2011 00:00:00|1042|04/10/2011 00:00:00|05/10/2011 00:00:00|1|1004|~1041~|2|0|~1041~
1017|0|25/02/2012 00:00:00|1091|27/02/2012 00:00:00|03/03/2012 00:00:00|4|1000|~1002~|2|0|~1002~
1018|2|05/12/2011 00:00:00|1039|08/12/2011 00:00:00|14/12/2011 00:00:00|6|1003|~1034~|1|0|~1034~
1019|0|09/02/2012 00:00:00|1069|11/02/2012 00:00:00|14/02/2012 00:00:00|3|1009|~1095~|1|0|~1095~
1020|2|09/12/2011 00:00:00|1002|17/12/2011 00:00:00|19/12/2011 00:00:00|2|1005|~1058~|1|0|~1058~
1021|2|30/10/2011 00:00:00|1033|02/11/2011 00:00:00|05/11/2011 00:00:00|3|1004|~1043~|2|0|~1043~
1022|2|16/10/2011 00:00:00|1009|23/10/2011 00:00:00|24/10/2011 00:00:00|1|1010|~1109~1106~|1|2|~1109~1106~
1023|2|19/11/2011 00:00:00|1044|28/11/2011 00:00:00|01/12/2011 00:00:00|3|1002|~1025~|1|0|~1025~
1024|2|29/08/2011 00:00:00|1012|29/08/2011 00:00:00|31/08/2011 00:00:00|2|1003|~1039~|1|0|~1039~
1025|0|05/02/2012 00:00:00|1093|13/02/2012 00:00:00|15/02/2012 00:00:00|2|1004|~1042~1043~|2|1|~1042~1043~
1026|2|21/01/2012 00:00:00|1093|21/01/2012 00:00:00|23/01/2012 00:00:00|2|1007|~1074~|2|0|~1074~
1027|2|24/09/2011 00:00:00|1081|30/09/2011 00:00:00|03/10/2011 00:00:00|3|1008|~1086~|1|0|~1086~
1028|2|06/11/2011 00:00:00|1076|08/11/2011 00:00:00|12/11/2011 00:00:00|4|1005|~1057~|2|0|~1057~
1029|2|12/11/2011 00:00:00|1042|17/11/2011 00:00:00|20/11/2011 00:00:00|3|1007|~1073~|2|0|~1073~
1030|1|05/02/2012 00:00:00|1099|13/02/2012 00:00:00|15/02/2012 00:00:00|2|1000|~1007~|1|0|~1007~
1031|2|06/11/2011 00:00:00|1021|11/11/2011 00:00:00|18/11/2011 00:00:00|7|1002|~1022~|1|0|~1022~
1032|0|08/03/2012 00:00:00|1024|10/03/2012 00:00:00|13/03/2012 00:00:00|3|1005|~1054~|1|0|~1054~
1033|0|15/02/2012 00:00:00|1059|16/02/2012 00:00:00|18/02/2012 00:00:00|2|1007|~1076~|1|0|~1076~
1034|2|13/12/2011 00:00:00|1031|22/12/2011 00:00:00|29/12/2011 00:00:00|7|1007|~1075~|2|0|~1075~
1035|2|12/10/2011 00:00:00|1068|18/10/2011 00:00:00|24/10/2011 00:00:00|6|1007|~1076~|2|0|~1076~
1036|1|25/02/2012 00:00:00|1067|27/02/2012 00:00:00|04/03/2012 00:00:00|5|1001|~1016~|1|0|~1016~
1037|1|17/02/2012 00:00:00|1069|23/02/2012 00:00:00|25/02/2012 00:00:00|2|1008|~1087~|2|0|~1087~
1038|2|12/08/2011 00:00:00|1052|13/08/2011 00:00:00|20/08/2011 00:00:00|7|1008|~1083~|1|0|~1083~
1039|2|17/08/2011 00:00:00|1052|21/08/2011 00:00:00|22/08/2011 00:00:00|1|1007|~1070~1078~|2|1|~1070~1078~
1040|0|21/03/2012 00:00:00|1041|22/03/2012 00:00:00|29/03/2012 00:00:00|7|1003|~1030~|2|0|~1030~
1041|2|27/12/2011 00:00:00|1072|02/01/2012 00:00:00|08/01/2012 00:00:00|6|1010|~1104~|2|0|~1104~
1042|2|16/11/2011 00:00:00|1018|19/11/2011 00:00:00|20/11/2011 00:00:00|1|1002|~1026~|2|0|~1026~
1043|2|03/10/2011 00:00:00|1026|12/10/2011 00:00:00|19/10/2011 00:00:00|7|1000|~1009~|2|0|~1009~
1044|2|02/01/2012 00:00:00|1009|10/01/2012 00:00:00|16/01/2012 00:00:00|6|1003|~1037~1035~|2|1|~1037~1035~
1045|2|19/09/2011 00:00:00|1047|21/09/2011 00:00:00|28/09/2011 00:00:00|7|1002|~1027~|1|0|~1027~
1046|0|18/03/2012 00:00:00|1009|20/03/2012 00:00:00|27/03/2012 00:00:00|7|1006|~1065~1068~|1|1|~1065~1068~
1047|2|30/07/2011 00:00:00|1031|04/08/2011 00:00:00|10/08/2011 00:00:00|6|1009|~1091~1095~|1|2|~1091~1095~
1048|0|02/03/2012 00:00:00|1031|05/03/2012 00:00:00|11/03/2012 00:00:00|6|1000|~1006~1009~|2|1|~1006~1009~
1049|2|28/07/2011 00:00:00|1032|01/08/2011 00:00:00|08/08/2011 00:00:00|7|1006|~1064~|2|0|~1064~
1050|2|21/01/2012 00:00:00|1048|21/01/2012 00:00:00|27/01/2012 00:00:00|6|1001|~1014~|2|0|~1014~
1051|2|08/09/2011 00:00:00|1013|13/09/2011 00:00:00|17/09/2011 00:00:00|4|1001|~1014~1017~|1|1|~1014~1017~
1052|2|08/08/2011 00:00:00|1039|11/08/2011 00:00:00|14/08/2011 00:00:00|3|1005|~1052~1057~|2|2|~1052~1057~
1053|0|06/02/2012 00:00:00|1006|15/02/2012 00:00:00|19/02/2012 00:00:00|4|1002|~1020~1029~|1|2|~1020~1029~
1054|2|15/11/2011 00:00:00|1039|23/11/2011 00:00:00|25/11/2011 00:00:00|2|1009|~1095~|2|0|~1095~
1055|2|22/07/2011 00:00:00|1068|27/07/2011 00:00:00|31/07/2011 00:00:00|4|1005|~1051~|1|0|~1051~
1056|2|22/07/2011 00:00:00|1065|31/07/2011 00:00:00|04/08/2011 00:00:00|4|1006|~1061~1063~|2|1|~1061~1063~
1057|1|25/02/2012 00:00:00|1030|28/02/2012 00:00:00|05/03/2012 00:00:00|5|1006|~1066~1061~|2|2|~1066~1061~
1058|2|15/08/2011 00:00:00|1037|19/08/2011 00:00:00|23/08/2011 00:00:00|4|1010|~1102~1105~|2|1|~1102~1105~
1059|0|23/02/2012 00:00:00|1019|23/02/2012 00:00:00|02/03/2012 00:00:00|7|1003|~1039~|1|0|~1039~
1060|2|29/09/2011 00:00:00|1056|05/10/2011 00:00:00|11/10/2011 00:00:00|6|1007|~1075~|2|0|~1075~
1061|2|27/01/2012 00:00:00|1092|01/02/2012 00:00:00|04/02/2012 00:00:00|3|1005|~1050~|2|0|~1050~
1062|2|01/09/2011 00:00:00|1013|09/09/2011 00:00:00|12/09/2011 00:00:00|3|1010|~1107~1104~|2|1|~1107~1104~
1063|2|12/12/2011 00:00:00|1082|20/12/2011 00:00:00|25/12/2011 00:00:00|5|1005|~1055~1050~|1|2|~1055~1050~
1064|2|24/09/2011 00:00:00|1065|27/09/2011 00:00:00|28/09/2011 00:00:00|1|1008|~1088~|2|0|~1088~
